class,ag_004,ah_000,av_000,ay_008,az_001,ba_008,bk_000,bs_000,ca_000,cg_000,cm_000,cs_004,cv_000,de_000,do_000
152,neg,106562.0,1581068.0,6998.0,0.0,1144.0,0.0,164140.0,124440.0,113398.0,222.0,0.0,218772.0,2174320.0,302.0,2504.0
154,neg,2658.0,2265706.0,688.0,0.0,1224.0,0.0,199380.0,13380.0,7078.0,222.0,0.0,187228.0,4003614.0,418.0,72432.0
161,neg,98974.0,2722804.0,8836.0,908.0,2536.0,0.0,175220.0,173060.0,83184.0,280.0,0.0,699496.0,4685524.0,3670.0,68642.0
166,neg,260.0,886948.0,3798.0,325060.0,1356.0,0.0,293020.0,168920.0,99496.0,50.0,0.0,124076.0,1786902.0,64.0,16588.0
170,neg,14710.0,1045278.0,70.0,568836.0,312.0,0.0,125540.0,9120.0,17738.0,40.0,0.0,94014.0,2326668.0,122.0,43518.0
171,neg,1478.0,1399006.0,1264.0,1279326.0,826.0,26200.0,286460.0,178060.0,69272.0,16.0,250.0,161000.0,2414590.0,82.0,32004.0
174,neg,564.0,1189826.0,594.0,1313036.0,916.0,0.0,140060.0,37260.0,30306.0,46.0,234.0,107394.0,1819224.0,264.0,25218.0
179,neg,2172716.0,4706546.0,380.0,143722.0,1568.0,66214.0,178560.0,28060.0,3616.0,430.0,1458.0,685356.0,6320368.0,2636.0,17372.0
182,neg,126.0,1092928.0,744.0,7588.0,770.0,0.0,235300.0,53240.0,26046.0,90.0,772.0,191372.0,2216200.0,156.0,32864.0
183,neg,10034.0,2034632.0,1756.0,215740.0,1152.0,0.0,202800.0,164460.0,80270.0,138.0,344.0,305058.0,2566460.0,1546.0,24054.0
184,neg,88478.0,1039410.0,1908.0,455668.0,782.0,2570.0,227280.0,230400.0,105724.0,80.0,0.0,80922.0,1774204.0,246.0,29454.0
187,neg,198.0,1135382.0,370.0,1178.0,1476.0,166.0,189160.0,10200.0,4018.0,60.0,582.0,105376.0,1845632.0,234.0,18898.0
188,neg,241164.0,2743336.0,322.0,1574310.0,740.0,0.0,163860.0,115000.0,78452.0,92.0,0.0,321876.0,4671546.0,394.0,86598.0
190,neg,509506.0,1391686.0,194.0,335450.0,1076.0,3868.0,202120.0,91360.0,54752.0,80.0,956.0,150500.0,1864334.0,182.0,41512.0
192,neg,1959126.0,1243414.0,146.0,540906.0,696.0,29100.0,316620.0,175880.0,80410.0,98.0,354.0,81160.0,2522044.0,248.0,8816.0
196,neg,204.0,950324.0,258.0,287954.0,2308.0,4.0,147000.0,1840.0,1354.0,22.0,0.0,120156.0,2000234.0,104.0,30028.0
197,neg,644976.0,1288918.0,108.0,1755798.0,10442.0,84092.0,345180.0,102600.0,29278.0,70.0,1422.0,97180.0,2023334.0,284.0,9480.0
202,neg,0.0,10897674.0,664.0,0.0,0.0,0.0,217600.0,121980.0,56346.0,0.0,0.0,0.0,0.0,374.0,64100.0
203,neg,705454.0,1466710.0,864.0,2479684.0,2320.0,16166.0,288900.0,8980.0,119012.0,64.0,672.0,1014670.0,2020068.0,572.0,13534.0
205,neg,2786.0,898776.0,292.0,361846.0,1972.0,0.0,240980.0,187500.0,94716.0,76.0,0.0,133726.0,1479942.0,254.0,18160.0
211,neg,356.0,1811524.0,180.0,459698.0,2438.0,0.0,121100.0,12480.0,14290.0,82.0,0.0,231110.0,3196890.0,108.0,60522.0
217,neg,223732.0,1047638.0,596.0,1396858.0,4302.0,66844.0,203420.0,3700.0,766.0,86.0,694.0,67818.0,1886768.0,750.0,5830.0
222,neg,1584.0,1249176.0,4750.0,2538.0,1606.0,84.0,275100.0,54260.0,12482.0,84.0,268.0,190920.0,961372.0,380.0,20366.0
223,neg,1902750.0,4749086.0,1840.0,5367842.0,854.0,0.0,261160.0,299700.0,100548.0,242.0,814.0,513162.0,6955622.0,186.0,45864.0
224,neg,569536.0,1295078.0,760.0,2667042.0,520.0,2.0,360100.0,50520.0,17700.0,206.0,356.0,135058.0,2244498.0,1190.0,2986.0
225,neg,3897674.0,3423036.0,234.0,742660.0,26298.0,111212.0,344820.0,118580.0,33410.0,274.0,3502.0,773016.0,6951406.0,444.0,21260.0
226,neg,2524.0,1110452.0,772.0,626174.0,3044.0,70282.0,217760.0,71500.0,33948.0,62.0,0.0,217762.0,2100538.0,298.0,42340.0
227,neg,99286.0,1756258.0,2734.0,0.0,1880.0,0.0,301720.0,310920.0,95408.0,546.0,0.0,322574.0,2985248.0,582.0,21402.0
231,neg,336.0,1364338.0,580.0,220376.0,1720.0,0.0,199260.0,195660.0,98084.0,52.0,0.0,150398.0,2801204.0,396.0,35274.0
232,neg,148624.0,1662558.0,582.0,1486402.0,2404.0,36388.0,176480.0,94000.0,46272.0,84.0,518.0,265746.0,2868848.0,4254.0,18092.0
234,neg,53970.0,1987346.0,272.0,253110.0,2238.0,0.0,155160.0,85120.0,78382.0,52.0,0.0,89070.0,1690066.0,200.0,44302.0
242,neg,13652.0,2353578.0,1848.0,2638960.0,3750.0,568.0,397540.0,217860.0,42264.0,288.0,0.0,655858.0,3093452.0,788.0,21582.0
247,neg,67626.0,1964906.0,1410.0,15084.0,5060.0,0.0,262420.0,227140.0,89166.0,150.0,0.0,397308.0,3756398.0,414.0,48700.0
249,neg,526.0,1090816.0,944.0,131134.0,1868.0,64.0,194880.0,23640.0,22782.0,34.0,0.0,100570.0,2216304.0,88.0,18524.0
252,neg,2228.0,1221688.0,200.0,104786.0,480.0,0.0,150320.0,19240.0,20720.0,74.0,304.0,160958.0,1995084.0,350.0,31640.0
256,neg,29502.0,1914504.0,82.0,536112.0,544.0,17424.0,196640.0,55420.0,32410.0,134.0,678.0,136832.0,3462042.0,184.0,57318.0
261,neg,831034.0,560754.0,1636.0,1213468.0,108.0,12102.0,181040.0,12940.0,6142.0,74.0,60.0,56514.0,986408.0,534.0,3490.0
268,neg,59690.0,2070304.0,2940.0,1106.0,984.0,450.0,202660.0,17220.0,3226.0,192.0,0.0,1056648.0,1996730.0,398.0,1094.0
269,neg,196.0,1119884.0,256.0,96868.0,224.0,6276.0,139000.0,8540.0,7322.0,82.0,0.0,98684.0,2081326.0,186.0,16624.0
270,neg,182.0,694042.0,2314.0,58498.0,2186.0,4180.0,170280.0,72280.0,46324.0,72.0,0.0,56354.0,1358910.0,108.0,14002.0
271,neg,89570.0,3032702.0,468.0,2128610.0,2116.0,3508.0,180160.0,77620.0,44666.0,78.0,0.0,253952.0,4974686.0,140.0,104262.0
273,neg,102896.0,2632380.0,4876.0,414042.0,1324.0,10.0,253060.0,90800.0,57634.0,140.0,0.0,219444.0,5072398.0,394.0,88584.0
275,neg,284.0,865992.0,1040.0,58786.0,844.0,106.0,211720.0,103120.0,93646.0,40.0,0.0,84978.0,1710240.0,254.0,21418.0
277,neg,570.0,1169810.0,1726.0,51834.0,554.0,1040.0,183140.0,53260.0,23916.0,152.0,0.0,153650.0,2256276.0,150.0,28564.0
280,neg,13586.0,1112958.0,838.0,1508060.0,218.0,38248.0,179680.0,12600.0,4410.0,98.0,314.0,61584.0,2144652.0,188.0,17550.0
281,neg,2470544.0,1794682.0,212.0,2470956.0,1152.0,104596.0,222940.0,168760.0,78962.0,66.0,586.0,2587934.0,3534818.0,744.0,29752.0
284,neg,166.0,1416528.0,532.0,919130.0,1540.0,0.0,162180.0,103720.0,82714.0,76.0,0.0,219482.0,2484056.0,342.0,49590.0
288,neg,221458.0,1439526.0,558.0,209042.0,354.0,0.0,128280.0,115880.0,92504.0,104.0,0.0,76948.0,2952236.0,276.0,46474.0
294,neg,262706.0,1052556.0,120.0,205350.0,172.0,23938.0,213940.0,12880.0,5200.0,58.0,0.0,150130.0,1971120.0,258.0,45704.0
298,neg,16198.0,1894714.0,2222.0,798784.0,1212.0,7170.0,201680.0,50840.0,23208.0,162.0,0.0,176452.0,2243978.0,358.0,68238.0
300,neg,1298.0,1390654.0,500.0,1152.0,3840.0,0.0,297600.0,220180.0,79060.0,150.0,786.0,148212.0,2385410.0,288.0,21730.0
304,neg,9544.0,908424.0,1570.0,21384.0,836.0,990.0,234680.0,164420.0,100352.0,50.0,0.0,84900.0,1118282.0,264.0,32842.0
312,neg,73458.0,1419254.0,514.0,731092.0,384.0,0.0,85900.0,90280.0,108842.0,188.0,0.0,152612.0,2961912.0,98.0,52018.0
313,neg,976.0,1465816.0,348.0,413076.0,1548.0,1880.0,324520.0,261900.0,84478.0,44.0,334.0,163156.0,2301184.0,160.0,44470.0
314,neg,730.0,1724382.0,522.0,1050774.0,1062.0,0.0,121380.0,38940.0,11228.0,40.0,0.0,102876.0,3141260.0,224.0,52104.0
316,neg,314.0,1053602.0,1054.0,137676.0,3486.0,72.0,295120.0,150080.0,109046.0,58.0,0.0,64992.0,1773340.0,138.0,27236.0
317,neg,407246.0,1417800.0,298.0,9960.0,1454.0,32476.0,159760.0,15660.0,13060.0,50.0,572.0,728708.0,2105002.0,68.0,4486.0
318,neg,26860.0,2347820.0,1924.0,140678.0,24528.0,20602.0,206700.0,200640.0,82300.0,212.0,0.0,219986.0,4605238.0,456.0,59784.0
321,neg,563622.0,2159304.0,368.0,1990060.0,992.0,0.0,117860.0,36580.0,55818.0,72.0,0.0,108540.0,4478300.0,650.0,53270.0
323,neg,425478.0,1362454.0,726.0,1285134.0,1818.0,118.0,149740.0,119820.0,87658.0,66.0,0.0,106110.0,2657156.0,98.0,22724.0
325,neg,3030.0,1525262.0,9736.0,0.0,2190.0,2262.0,305620.0,59680.0,14614.0,138.0,0.0,248518.0,1207358.0,170.0,13410.0
327,neg,346.0,1252664.0,208.0,15112.0,774.0,0.0,166700.0,93440.0,63856.0,106.0,0.0,128854.0,645096.0,200.0,45926.0
328,neg,1138.0,1095970.0,392.0,544346.0,36546.0,0.0,216160.0,83100.0,31424.0,54.0,0.0,183472.0,2174556.0,200.0,42468.0
336,neg,172.0,1488574.0,804.0,1178856.0,2602.0,1362.0,190000.0,140340.0,99748.0,46.0,970.0,229004.0,2275964.0,88.0,27182.0
339,neg,33754.0,905406.0,508.0,94778.0,480.0,1750.0,177940.0,135060.0,85476.0,88.0,0.0,69628.0,1559558.0,162.0,20490.0
340,neg,69042.0,2356362.0,124.0,4143700.0,3894.0,58902.0,265900.0,187000.0,78312.0,118.0,916.0,96692.0,4247782.0,820.0,20342.0
342,neg,111268.0,3028786.0,1178.0,1480334.0,528.0,0.0,133740.0,60060.0,43366.0,258.0,0.0,329266.0,6155228.0,516.0,107514.0
344,neg,210.0,1150900.0,172.0,340184.0,6750.0,12.0,205520.0,63580.0,25794.0,64.0,0.0,84890.0,1308442.0,138.0,40316.0
347,neg,4564024.0,3196334.0,5118.0,2246338.0,9924.0,235362.0,254240.0,20500.0,6412.0,314.0,2706.0,477888.0,6061684.0,1408.0,39646.0
348,neg,1850.0,3155162.0,4684.0,4400566.0,3546.0,410.0,289580.0,24620.0,618.0,0.0,866.0,713186.0,0.0,902.0,80362.0
352,neg,14424.0,1750690.0,1504.0,328524.0,794.0,608.0,94980.0,5520.0,5066.0,86.0,0.0,99564.0,2868542.0,146.0,48718.0
354,neg,29468.0,1208106.0,8620.0,0.0,1522.0,710.0,242460.0,126700.0,60496.0,186.0,0.0,217300.0,1918380.0,766.0,12078.0
355,neg,330.0,1499036.0,910.0,280316.0,3038.0,0.0,243860.0,76680.0,39096.0,76.0,0.0,151170.0,2897360.0,168.0,53620.0
357,neg,1278.0,1125182.0,290.0,1502.0,0.0,0.0,451980.0,117200.0,22628.0,0.0,6.0,14.0,510.0,526.0,34822.0
359,neg,5634.0,1377448.0,340.0,3101074.0,994.0,0.0,239640.0,183900.0,84280.0,82.0,0.0,132184.0,2194410.0,512.0,9840.0
360,neg,6862.0,1699574.0,1146.0,166032.0,13574.0,620.0,559240.0,259780.0,45306.0,144.0,1226.0,446070.0,1292320.0,174.0,18422.0
363,neg,350.0,2104022.0,1332.0,2213064.0,318.0,0.0,133500.0,79400.0,72992.0,100.0,0.0,285062.0,3399312.0,346.0,38806.0
368,neg,896.0,1001950.0,280.0,11392.0,384.0,2346.0,160960.0,86140.0,78224.0,122.0,0.0,72630.0,1074522.0,82.0,24354.0
370,neg,104.0,1174600.0,1582.0,78006.0,2140.0,0.0,236720.0,72100.0,38368.0,74.0,0.0,148388.0,1993436.0,330.0,33146.0
371,neg,2784.0,1199752.0,286.0,428288.0,1118.0,2.0,163600.0,24760.0,11728.0,94.0,0.0,163348.0,1862426.0,274.0,26756.0
372,neg,5350.0,1218070.0,342.0,543664.0,1058.0,0.0,190760.0,53860.0,44000.0,134.0,680.0,93866.0,2291590.0,312.0,27396.0
373,neg,1938.0,1980122.0,108.0,1081242.0,2050.0,0.0,183480.0,202820.0,113434.0,54.0,280.0,211758.0,3261650.0,70.0,31554.0
377,neg,69692.0,1415942.0,764.0,1850770.0,332.0,8824.0,146880.0,74120.0,51510.0,184.0,512.0,99972.0,2229346.0,542.0,34024.0
379,neg,85426.0,2182576.0,288.0,912.0,448.0,4006.0,273200.0,217460.0,79322.0,118.0,0.0,199298.0,4603344.0,176.0,87810.0
381,neg,76860.0,1209176.0,2110.0,675522.0,880.0,0.0,316180.0,190540.0,57412.0,66.0,1046.0,117132.0,2041268.0,558.0,63614.0
383,neg,878.0,2659992.0,9856.0,115344.0,1400.0,11410.0,236900.0,43980.0,11444.0,314.0,0.0,362256.0,5138214.0,734.0,63666.0
384,neg,51396.0,1201476.0,1350.0,579026.0,1088.0,18826.0,195880.0,124040.0,53112.0,84.0,0.0,138640.0,2437768.0,294.0,17586.0
385,neg,114360.0,203610.0,412.0,638060.0,10714.0,33230.0,323340.0,10760.0,600.0,114.0,2322.0,70202.0,1741040.0,242.0,1394.0
394,pos,3416030.0,10093048.0,17598.0,3837326.0,5118.0,85502.0,611500.0,562160.0,92132.0,214.0,932.0,505540.0,12914046.0,3246.0,85778.0
395,neg,16868.0,1166602.0,2282.0,13092.0,2308.0,4206.0,182180.0,55540.0,33132.0,8.0,0.0,106994.0,445220.0,240.0,23710.0
397,neg,9264.0,1468192.0,9234.0,0.0,6138.0,300.0,432040.0,161860.0,38714.0,160.0,0.0,226280.0,2665300.0,190.0,42298.0
399,neg,52774.0,1683130.0,4552.0,0.0,3748.0,123594.0,454660.0,442640.0,110968.0,176.0,0.0,230336.0,2551310.0,216.0,8256.0
400,neg,2162.0,1161972.0,1636.0,0.0,1146.0,1574.0,180040.0,62500.0,39588.0,118.0,0.0,142310.0,1425644.0,306.0,21718.0
401,neg,3068.0,1699112.0,2322.0,494614.0,322.0,12688.0,148680.0,64020.0,57572.0,164.0,0.0,139202.0,3628924.0,390.0,51944.0
402,neg,145902.0,1108646.0,2060.0,702110.0,1264.0,15410.0,381420.0,92120.0,29908.0,118.0,0.0,129808.0,1298612.0,410.0,27128.0
403,neg,6728.0,2115506.0,414.0,441086.0,1608.0,148.0,220820.0,98540.0,44680.0,112.0,546.0,204242.0,2673426.0,206.0,62290.0
404,neg,22956.0,1757172.0,1652.0,407556.0,3000.0,82.0,162540.0,87580.0,52280.0,102.0,0.0,245924.0,2934844.0,296.0,38266.0
405,neg,6872.0,994578.0,144.0,203058.0,7478.0,60.0,164720.0,5340.0,2584.0,66.0,0.0,114322.0,2002344.0,140.0,45938.0
407,neg,2086.0,1567114.0,470.0,4091284.0,15176.0,8692.0,147240.0,91140.0,49948.0,128.0,1304.0,138308.0,603574.0,3548.0,0.0
410,neg,57814.0,1016764.0,2750.0,403900.0,938.0,8216.0,254520.0,29620.0,6088.0,74.0,0.0,150396.0,1793334.0,142.0,25372.0
413,pos,6831358.0,10301516.0,7306.0,27339768.0,6756.0,4410.0,802880.0,319560.0,93132.0,940.0,8528.0,1798226.0,4572798.0,16028.0,3130.0
415,neg,29882.0,855280.0,68.0,182872.0,262.0,150.0,220000.0,128440.0,67780.0,48.0,82.0,61048.0,1683594.0,136.0,24554.0
416,neg,2566.0,1228254.0,6340.0,0.0,1384.0,54.0,373400.0,186840.0,76874.0,202.0,0.0,107432.0,1679026.0,758.0,3034.0
417,neg,10282.0,2194132.0,166.0,55870.0,2320.0,0.0,109560.0,26860.0,24684.0,36.0,0.0,132254.0,2207048.0,810.0,95496.0
418,neg,32028.0,1563410.0,220.0,3574622.0,5904.0,10948.0,231220.0,169300.0,99526.0,204.0,1524.0,269680.0,2595394.0,1220.0,4722.0
419,neg,232.0,1519876.0,692.0,241044.0,1296.0,0.0,281640.0,234640.0,109660.0,108.0,1166.0,155622.0,2355424.0,146.0,83530.0
422,neg,563622.0,2159304.0,368.0,1990060.0,992.0,0.0,117860.0,36580.0,55818.0,72.0,0.0,108540.0,4478300.0,650.0,53270.0
423,neg,0.0,14049564.0,0.0,0.0,0.0,0.0,250140.0,108700.0,31754.0,0.0,0.0,0.0,0.0,0.0,0.0
425,neg,27924.0,2743486.0,260.0,3012736.0,23656.0,6928.0,148420.0,124260.0,85982.0,86.0,0.0,256578.0,5373052.0,96.0,28462.0
427,neg,509506.0,1391686.0,194.0,335450.0,1076.0,3868.0,202120.0,91360.0,54874.0,80.0,956.0,150500.0,1864334.0,182.0,41512.0
431,neg,474816.0,1549274.0,264.0,1481800.0,3442.0,55068.0,314100.0,38120.0,20024.0,80.0,1022.0,144868.0,2822496.0,704.0,10632.0
433,neg,23418.0,2470250.0,9332.0,2533582.0,1496.0,2738.0,238920.0,181300.0,82498.0,282.0,0.0,363882.0,2531050.0,424.0,33130.0
440,neg,860.0,1667132.0,26944.0,1133754.0,2046.0,0.0,299740.0,161820.0,43466.0,96.0,0.0,245822.0,2861766.0,882.0,26282.0
441,neg,51872.0,1363338.0,13196.0,41900.0,884.0,12144.0,313580.0,36200.0,942.0,426.0,0.0,395064.0,2130124.0,630.0,59280.0
443,neg,8614.0,1554876.0,234.0,1138504.0,518.0,0.0,300960.0,67960.0,22864.0,98.0,0.0,317574.0,2356566.0,418.0,20460.0
444,neg,590.0,2270022.0,704.0,616548.0,1448.0,0.0,151820.0,88980.0,46576.0,102.0,0.0,185268.0,4274294.0,202.0,100462.0
446,neg,92314.0,3175382.0,312.0,1999432.0,7124.0,0.0,185420.0,87740.0,52358.0,180.0,0.0,212164.0,6661560.0,526.0,118586.0
449,neg,1030.0,1414278.0,120.0,266010.0,2714.0,0.0,184520.0,32380.0,19238.0,50.0,432.0,101966.0,2269970.0,186.0,30846.0
451,neg,190.0,1331356.0,172.0,201670.0,888.0,0.0,270220.0,192400.0,67574.0,112.0,0.0,134670.0,2526830.0,244.0,28636.0
453,neg,1527874.0,1146042.0,246.0,2565932.0,2994.0,41522.0,307280.0,187980.0,85244.0,116.0,1074.0,83288.0,1635352.0,1122.0,8386.0
454,neg,391030.0,1079102.0,184.0,232216.0,194.0,34240.0,139660.0,180.0,119260.0,28.0,0.0,110636.0,1935350.0,166.0,42208.0
456,neg,3137420.0,5780034.0,2076.0,6115058.0,26218.0,106810.0,339180.0,105700.0,19586.0,14.0,3684.0,6635364.0,593574.0,1344.0,26920.0
462,neg,2972.0,1194008.0,2526.0,1348.0,1270.0,0.0,259540.0,68420.0,30146.0,144.0,0.0,93446.0,2014514.0,624.0,43664.0
463,neg,6468.0,1487886.0,768.0,121824.0,5880.0,1694.0,205980.0,3620.0,116724.0,142.0,0.0,157352.0,2848288.0,100.0,21176.0
464,neg,208.0,1289056.0,226.0,1283508.0,1144.0,0.0,197500.0,81160.0,41400.0,88.0,1014.0,66258.0,2436362.0,182.0,53512.0
465,neg,56024.0,1219394.0,2664.0,2453200.0,1984.0,892.0,240120.0,112000.0,54992.0,106.0,0.0,197744.0,2467454.0,230.0,31002.0
466,neg,10822.0,1605728.0,1802.0,330430.0,630.0,1264.0,401140.0,143560.0,40440.0,124.0,0.0,249456.0,2957402.0,276.0,41778.0
467,neg,6016.0,1370472.0,146.0,580268.0,1040.0,0.0,235900.0,100860.0,50102.0,78.0,976.0,249126.0,2412478.0,86.0,39246.0
468,neg,1564.0,963860.0,2000.0,579226.0,1562.0,4864.0,274560.0,157140.0,90556.0,58.0,364.0,80036.0,1642736.0,484.0,27050.0
470,neg,102510.0,1710330.0,132.0,1402048.0,3458.0,134456.0,183680.0,70120.0,39968.0,42.0,998.0,112506.0,2894266.0,1376.0,7954.0
