class,ac_000,ag_006,ah_000,ay_006,ay_008,az_004,cd_000,cs_006,cv_000,du_000,eb_000
79,neg,2130706432.0,1378512.0,1301482.0,2149730.0,186094.0,2085696.0,1209600.0,1055986.0,2561866.0,10373160.0,296130.0
80,neg,2130706438.0,1778518.0,1236554.0,812476.0,1227668.0,26522.0,1209600.0,109046.0,2276144.0,7702400.0,974140.0
91,neg,2130706432.0,480442.0,581450.0,5414.0,602198.0,5270.0,1209600.0,263348.0,1113448.0,4905980.0,0.0
95,neg,372.0,1581982.0,1245216.0,1030838.0,368966.0,1972772.0,1209600.0,676712.0,1633124.0,621940.0,41700180.0
99,neg,148.0,1282714.0,943092.0,516294.0,212894.0,1972808.0,1209600.0,774500.0,1746362.0,6266460.0,0.0
101,neg,2130706432.0,2307676.0,2262820.0,435522.0,2155258.0,125508.0,1209600.0,1174654.0,3864786.0,10293000.0,2176680.0
106,neg,496.0,1459554.0,1363964.0,52958.0,2185324.0,423194.0,1209600.0,160.0,0.0,37875220.0,13898280.0
112,neg,310.0,1727382.0,1463386.0,1457672.0,1265578.0,1499806.0,1209600.0,1227676.0,2992364.0,7409720.0,4450890.0
113,neg,566.0,1556900.0,1138936.0,892548.0,13520.0,2064190.0,1209600.0,196220.0,2163260.0,352640.0,2141960.0
114,neg,200.0,1754526.0,1078012.0,985664.0,295934.0,1649226.0,1209600.0,612322.0,1492884.0,2148540.0,1196340.0
118,neg,2130706436.0,1227816.0,1040584.0,226424.0,12030.0,233926.0,1209600.0,548056.0,1540740.0,15817900.0,10715580.0
123,neg,1582.0,1603052.0,1982426.0,1298096.0,1999744.0,1308454.0,1209600.0,886178.0,2729116.0,3178620.0,1047700.0
124,neg,246.0,0.0,2128138.0,0.0,0.0,0.0,1209600.0,0.0,0.0,27580.0,0.0
128,neg,2130706432.0,3566968.0,2698058.0,1348868.0,2074252.0,338182.0,1209600.0,1005862.0,5276888.0,14040840.0,14483610.0
138,neg,3038.0,2965432.0,1996744.0,190972.0,2318140.0,3709302.0,1209600.0,378160.0,3702278.0,21715180.0,18365990.0
148,neg,132.0,1984270.0,1253944.0,181260.0,1856248.0,1919898.0,1209600.0,641162.0,2280140.0,23360.0,0.0
149,neg,342.0,1376442.0,854172.0,924542.0,0.0,1537524.0,1209600.0,272060.0,1804890.0,59820.0,30279730.0
152,neg,2986.0,1549942.0,1581068.0,1181096.0,0.0,2637696.0,1209600.0,660088.0,2174320.0,879180.0,0.0
154,neg,796.0,2980008.0,2265706.0,1921368.0,0.0,3266402.0,1209600.0,1979696.0,4003614.0,240100.0,35820.0
161,neg,3430.0,3291540.0,2722804.0,2368922.0,908.0,4843832.0,1209600.0,647762.0,4685524.0,10828120.0,1380300.0
166,neg,1754.0,1229638.0,886948.0,1148082.0,325060.0,1390608.0,1209600.0,168194.0,1786902.0,27800.0,31021370.0
170,neg,2130706432.0,1661652.0,1045278.0,1133596.0,568836.0,1459738.0,1209600.0,370312.0,2326668.0,8430020.0,1934560.0
171,neg,2130706434.0,1623236.0,1399006.0,941060.0,1279326.0,69484.0,1209600.0,461090.0,2414590.0,6088120.0,10406090.0
174,neg,2130706432.0,1696866.0,1189826.0,465086.0,1313036.0,67200.0,1209600.0,733406.0,1819224.0,11801700.0,5073680.0
179,neg,378.0,3113846.0,4706546.0,1398452.0,143722.0,19180.0,1209600.0,986700.0,6320368.0,15240.0,7000670.0
182,neg,2130706432.0,2071436.0,1092928.0,779754.0,7588.0,46898.0,1209600.0,281936.0,2216200.0,8990180.0,0.0
183,neg,2130706436.0,2616358.0,2034632.0,3639076.0,215740.0,16314.0,1209600.0,948456.0,2566460.0,11867840.0,1511780.0
184,neg,794.0,936770.0,1039410.0,1396660.0,455668.0,1414438.0,1209600.0,896554.0,1774204.0,56500.0,30002100.0
187,neg,532.0,1540714.0,1135382.0,1055876.0,1178.0,143696.0,1209600.0,960778.0,1845632.0,26340.0,0.0
188,neg,332.0,3017774.0,2743336.0,3048130.0,1574310.0,4833194.0,1209600.0,965560.0,4671546.0,25817480.0,1087000.0
190,neg,304.0,549608.0,1391686.0,2203250.0,335450.0,9082.0,1209600.0,420134.0,1864334.0,2241620.0,2522290.0
192,neg,236.0,72164.0,1243414.0,130980.0,540906.0,4074.0,1209600.0,347612.0,2522044.0,7291660.0,9408180.0
196,neg,90.0,1505892.0,950324.0,958060.0,287954.0,1990850.0,1209600.0,178146.0,2000234.0,348340.0,0.0
197,neg,48.0,336484.0,1288918.0,43632.0,1755798.0,27010.0,1209600.0,720380.0,2023334.0,40.0,1636440.0
202,neg,654.0,0.0,10897674.0,0.0,0.0,0.0,1209600.0,0.0,0.0,10040.0,11208110.0
203,neg,562.0,235244.0,1466710.0,208.0,2479684.0,477738.0,1209600.0,703802.0,2020068.0,9303480.0,0.0
205,neg,242.0,993358.0,898776.0,1444436.0,361846.0,1541300.0,1209600.0,455084.0,1479942.0,234380.0,0.0
211,neg,144.0,2258556.0,1811524.0,1738964.0,459698.0,2902336.0,1209600.0,926052.0,3196890.0,207760.0,5313150.0
217,neg,104.0,454360.0,1047638.0,8782.0,1396858.0,8898.0,1209600.0,654596.0,1886768.0,2693920.0,0.0
222,neg,762.0,1207456.0,1249176.0,1322616.0,2538.0,57036.0,1209600.0,508586.0,961372.0,2429820.0,0.0
223,neg,1756.0,1760632.0,4749086.0,199870.0,5367842.0,238640.0,1209600.0,3658812.0,6955622.0,846600.0,92870300.0
224,neg,540.0,440448.0,1295078.0,0.0,2667042.0,35222.0,1209600.0,1287912.0,2244498.0,5348480.0,30991610.0
225,neg,278.0,707246.0,3423036.0,2338100.0,742660.0,75584.0,1209600.0,409310.0,6951406.0,17980.0,84655380.0
226,neg,506.0,1840678.0,1110452.0,246620.0,626174.0,1706346.0,1209600.0,415160.0,2100538.0,9300.0,5492360.0
227,neg,962.0,1625194.0,1756258.0,4049374.0,0.0,1883990.0,1209600.0,1121486.0,2985248.0,25180.0,0.0
231,neg,432.0,2136542.0,1364338.0,1160364.0,220376.0,2414248.0,1209600.0,836966.0,2801204.0,197040.0,648070.0
232,neg,1544.0,1410812.0,1662558.0,32268.0,1486402.0,44262.0,1209600.0,241584.0,2868848.0,13169260.0,1807250.0
234,neg,274.0,2456144.0,1987346.0,1715000.0,253110.0,2702666.0,1209600.0,1603428.0,1690066.0,7100260.0,707330.0
242,neg,968.0,2950386.0,2353578.0,2778346.0,2638960.0,3475256.0,1209600.0,1277788.0,3093452.0,1031640.0,0.0
247,neg,292.0,2310574.0,1964906.0,3650434.0,15084.0,2861190.0,1209600.0,361002.0,3756398.0,187780.0,3918390.0
249,neg,416.0,1592326.0,1090816.0,647590.0,131134.0,1974030.0,1209600.0,317298.0,2216304.0,314340.0,413540.0
252,neg,2130706432.0,1782932.0,1221688.0,1640206.0,104786.0,5472.0,1209600.0,393692.0,1995084.0,4469320.0,0.0
256,neg,60.0,1842984.0,1914504.0,1472518.0,536112.0,25576.0,1209600.0,1088622.0,3462042.0,113720.0,10363700.0
261,neg,288.0,21168.0,560754.0,0.0,1213468.0,346.0,1209600.0,269982.0,986408.0,26740.0,0.0
268,neg,776.0,2546328.0,2070304.0,90822.0,1106.0,3431216.0,1209600.0,1243142.0,1996730.0,5810640.0,1723580.0
269,neg,122.0,1705762.0,1119884.0,1227392.0,96868.0,1795040.0,1209600.0,522446.0,2081326.0,166700.0,1154700.0
270,neg,1094.0,1080360.0,694042.0,356040.0,58498.0,853936.0,1209600.0,697706.0,1358910.0,19340.0,0.0
271,neg,2130706432.0,4157538.0,3032702.0,2068214.0,2128610.0,4620124.0,1209600.0,2679762.0,4974686.0,33457480.0,0.0
273,neg,1264.0,3063574.0,2632380.0,2199574.0,414042.0,4099364.0,1209600.0,2689372.0,5072398.0,731720.0,10215310.0
275,neg,456.0,1316164.0,865992.0,758366.0,58786.0,1516622.0,1209600.0,344164.0,1710240.0,190320.0,1185180.0
277,neg,806.0,1893082.0,1169810.0,769350.0,51834.0,1947536.0,1209600.0,371092.0,2256276.0,68340.0,9999990.0
280,neg,2130706434.0,1270542.0,1112958.0,188352.0,1508060.0,29542.0,1209600.0,848074.0,2144652.0,6583340.0,3780490.0
281,neg,612.0,165862.0,1794682.0,0.0,2470956.0,327612.0,1209600.0,1112.0,3534818.0,8624100.0,54157110.0
284,neg,298.0,1695948.0,1416528.0,810588.0,919130.0,2167676.0,1209600.0,735958.0,2484056.0,59240.0,4567460.0
288,neg,362.0,1307174.0,1439526.0,1286358.0,209042.0,1488968.0,1209600.0,1027928.0,2952236.0,13340.0,10850810.0
294,neg,50.0,1103214.0,1052556.0,1459950.0,205350.0,1490114.0,1209600.0,457378.0,1971120.0,208080.0,0.0
298,neg,678.0,2398632.0,1894714.0,1836902.0,798784.0,2982848.0,1209600.0,416604.0,2243978.0,2314540.0,19385250.0
300,neg,530.0,2050462.0,1390654.0,2894180.0,1152.0,95470.0,1209600.0,429882.0,2385410.0,61660.0,1731310.0
304,neg,664.0,1484470.0,908424.0,966712.0,21384.0,1446524.0,1209600.0,444662.0,1118282.0,1728640.0,1569940.0
312,neg,2130706434.0,1912288.0,1419254.0,1054854.0,731092.0,2805618.0,1209600.0,473164.0,2961912.0,5617160.0,1072100.0
313,neg,2130706434.0,1643692.0,1465816.0,1615332.0,413076.0,133488.0,1209600.0,1178742.0,2301184.0,5541660.0,2462990.0
314,neg,1334.0,2862906.0,1724382.0,1947352.0,1050774.0,3167966.0,1209600.0,1574552.0,3141260.0,7759220.0,23862940.0
316,neg,154.0,1312342.0,1053602.0,1023074.0,137676.0,1528122.0,1209600.0,819262.0,1773340.0,67660.0,80520.0
317,neg,2130706434.0,683556.0,1417800.0,1798196.0,9960.0,39952.0,1209600.0,237394.0,2105002.0,10189640.0,1344110.0
318,neg,1500.0,3484324.0,2347820.0,1797564.0,140678.0,3973350.0,1209600.0,1587614.0,4605238.0,256100.0,33826330.0
321,neg,184.0,1789456.0,2159304.0,1739454.0,1990060.0,1430574.0,1209600.0,2154492.0,4478300.0,27600840.0,24518010.0
323,neg,248.0,1076764.0,1362454.0,1064024.0,1285134.0,1505890.0,1209600.0,1115136.0,2657156.0,15520.0,741150.0
325,neg,2450.0,2175714.0,1525262.0,2800846.0,0.0,2358196.0,1209600.0,788954.0,1207358.0,6043420.0,0.0
327,neg,146.0,1732484.0,1252664.0,2190852.0,15112.0,2287688.0,1209600.0,683588.0,645096.0,6004340.0,2567540.0
328,neg,172.0,1619396.0,1095970.0,1202248.0,544346.0,1966820.0,1209600.0,341292.0,2174556.0,48340.0,963920.0
336,neg,2130706454.0,1881096.0,1488574.0,1297396.0,1178856.0,65122.0,1209600.0,909656.0,2275964.0,6735680.0,6318650.0
339,neg,196.0,891036.0,905406.0,764114.0,94778.0,1289378.0,1209600.0,387272.0,1559558.0,318380.0,1204970.0
340,neg,102.0,1773386.0,2356362.0,10672.0,4143700.0,50536.0,1209600.0,2682220.0,4247782.0,140060.0,40877240.0
342,neg,2130706432.0,3472634.0,3028786.0,4205686.0,1480334.0,5301968.0,1209600.0,1997330.0,6155228.0,19595300.0,15777080.0
344,neg,224.0,1567010.0,1150900.0,1614490.0,340184.0,1324038.0,1209600.0,606606.0,1308442.0,1723660.0,2106530.0
347,neg,1788.0,1108670.0,3196334.0,1013956.0,2246338.0,136462.0,1209600.0,850638.0,6061684.0,3475680.0,42814300.0
348,neg,2130706432.0,4111554.0,3155162.0,1075460.0,4400566.0,1093504.0,1209600.0,389830.0,0.0,14458640.0,31327470.0
352,neg,554.0,2144680.0,1750690.0,1262252.0,328524.0,2525986.0,1209600.0,1121726.0,2868542.0,241880.0,1921990.0
354,neg,2154.0,1384812.0,1208106.0,2068706.0,0.0,1525760.0,1209600.0,819020.0,1918380.0,1107640.0,2009550.0
355,neg,342.0,2254924.0,1499036.0,1355064.0,280316.0,2559016.0,1209600.0,378380.0,2897360.0,175100.0,1961870.0
357,neg,298.0,0.0,1125182.0,0.0,1502.0,0.0,1209600.0,702.0,510.0,7987720.0,1550690.0
359,neg,286.0,2173878.0,1377448.0,82064.0,3101074.0,1607872.0,1209600.0,546592.0,2194410.0,3305600.0,0.0
360,neg,672.0,2026074.0,1699574.0,3344952.0,166032.0,217972.0,1209600.0,647290.0,1292320.0,2053380.0,0.0
363,neg,4808.0,2871908.0,2104022.0,375284.0,2213064.0,3680300.0,1209600.0,723392.0,3399312.0,18720.0,2865590.0
368,neg,172.0,1520908.0,1001950.0,761192.0,11392.0,1560764.0,1209600.0,723734.0,1074522.0,1420220.0,471620.0
370,neg,3698.0,1428364.0,1174600.0,1634384.0,78006.0,1425950.0,1209600.0,521372.0,1993436.0,1056620.0,3164910.0
371,neg,168.0,1616006.0,1199752.0,1447136.0,428288.0,1641224.0,1209600.0,535420.0,1862426.0,372160.0,277940.0
372,neg,118.0,1272848.0,1218070.0,1112184.0,543664.0,27554.0,1209600.0,323716.0,2291590.0,13080.0,1065070.0
373,neg,2130706432.0,2526676.0,1980122.0,1234348.0,1081242.0,251848.0,1209600.0,409484.0,3261650.0,9296860.0,14148340.0
377,neg,398.0,1312666.0,1415942.0,150426.0,1850770.0,35052.0,1209600.0,1234768.0,2229346.0,360740.0,1310130.0
379,neg,322.0,2839278.0,2182576.0,3944814.0,912.0,3415856.0,1209600.0,1277838.0,4603344.0,19031180.0,1501420.0
381,neg,2130706432.0,1132184.0,1209176.0,141620.0,675522.0,44074.0,1209600.0,1223386.0,2041268.0,6998940.0,2348810.0
383,neg,2428.0,4002084.0,2659992.0,264690.0,115344.0,3378864.0,1209600.0,1578752.0,5138214.0,194200.0,40777860.0
384,neg,508.0,1445974.0,1201476.0,891012.0,579026.0,2125112.0,1209600.0,472004.0,2437768.0,11654140.0,12104700.0
385,neg,2130706432.0,367754.0,203610.0,0.0,638060.0,21838.0,1209600.0,336166.0,1741040.0,7275680.0,0.0
394,pos,3762.0,297726.0,10093048.0,86034.0,3837326.0,479842.0,1209600.0,2125232.0,12914046.0,218540.0,4983910.0
395,neg,672.0,1665714.0,1166602.0,1208334.0,13092.0,1924330.0,1209600.0,906172.0,445220.0,461400.0,2277290.0
397,neg,4124.0,1620918.0,1468192.0,2034410.0,0.0,2458650.0,1209600.0,479406.0,2665300.0,488220.0,300720.0
399,neg,1686.0,1542156.0,1683130.0,2315632.0,0.0,2492538.0,1209600.0,851876.0,2551310.0,191160.0,782170.0
400,neg,642.0,1880676.0,1161972.0,738502.0,0.0,1875364.0,1209600.0,596644.0,1425644.0,1839940.0,471070.0
401,neg,2130706462.0,2368266.0,1699112.0,1427598.0,494614.0,2092072.0,1209600.0,1237396.0,3628924.0,12533560.0,29944050.0
402,neg,2130706450.0,1058606.0,1108646.0,1283370.0,702110.0,1927234.0,1209600.0,540776.0,1298612.0,10502240.0,2683610.0
403,neg,364.0,2597532.0,2115506.0,1638092.0,441086.0,15402.0,1209600.0,899792.0,2673426.0,2335180.0,17235150.0
404,neg,1066.0,2573922.0,1757172.0,1586412.0,407556.0,3101688.0,1209600.0,462148.0,2934844.0,17425420.0,2464400.0
405,neg,98.0,1617312.0,994578.0,1014774.0,203058.0,973220.0,1209600.0,449996.0,2002344.0,5333960.0,0.0
407,neg,2130706432.0,1149852.0,1567114.0,0.0,4091284.0,39302.0,1209600.0,89634.0,603574.0,2440260.0,0.0
410,neg,960.0,1122864.0,1016764.0,909058.0,403900.0,1419216.0,1209600.0,763540.0,1793334.0,150580.0,661020.0
413,pos,1534.0,6733314.0,10301516.0,0.0,27339768.0,31330.0,1209600.0,2630820.0,4572798.0,12160.0,3482750.0
415,neg,2130706432.0,949684.0,855280.0,768444.0,182872.0,6778.0,1209600.0,336724.0,1683594.0,4098840.0,0.0
416,neg,2130706432.0,1629146.0,1228254.0,111864.0,0.0,2007138.0,1209600.0,659854.0,1679026.0,2371520.0,0.0
417,neg,92.0,3171868.0,2194132.0,1663676.0,55870.0,3631686.0,1209600.0,1119736.0,2207048.0,309800.0,2930140.0
418,neg,174.0,1330486.0,1563410.0,0.0,3574622.0,16990.0,1209600.0,695254.0,2595394.0,655580.0,13870750.0
419,neg,2130706432.0,2273276.0,1519876.0,2514326.0,241044.0,124026.0,1209600.0,715360.0,2355424.0,15556080.0,345210.0
422,neg,184.0,1789456.0,2159304.0,1739454.0,1990060.0,1430574.0,1209600.0,2154492.0,4478300.0,27600840.0,24518010.0
423,neg,0.0,0.0,14049564.0,0.0,0.0,0.0,1209600.0,0.0,0.0,0.0,0.0
425,neg,2130706432.0,3808460.0,2743486.0,2027626.0,3012736.0,5148268.0,1209600.0,708168.0,5373052.0,20085400.0,1292890.0
427,neg,304.0,549608.0,1391686.0,2203250.0,335450.0,9082.0,1209600.0,420134.0,1864334.0,2241620.0,2522290.0
431,neg,124.0,863178.0,1549274.0,81742.0,1481800.0,73766.0,1209600.0,339456.0,2822496.0,860.0,17463270.0
433,neg,1744.0,3064656.0,2470250.0,1541688.0,2533582.0,3562888.0,1209600.0,1267446.0,2531050.0,953800.0,709830.0
440,neg,8172.0,2662198.0,1667132.0,886010.0,1133754.0,2968514.0,1209600.0,392918.0,2861766.0,18429920.0,11466480.0
441,neg,1820.0,1607396.0,1363338.0,1448154.0,41900.0,1759404.0,1209600.0,728724.0,2130124.0,7659500.0,973550.0
443,neg,202.0,2102904.0,1554876.0,2368334.0,1138504.0,2299772.0,1209600.0,475802.0,2356566.0,1690860.0,0.0
444,neg,368.0,2705146.0,2270022.0,2117096.0,616548.0,4142222.0,1209600.0,1001686.0,4274294.0,594880.0,4293910.0
446,neg,2130706432.0,3653362.0,3175382.0,4263592.0,1999432.0,4567502.0,1209600.0,1473540.0,6661560.0,21552000.0,17605190.0
449,neg,2130706432.0,1473932.0,1414278.0,1209922.0,266010.0,105766.0,1209600.0,619566.0,2269970.0,7259340.0,2439330.0
451,neg,434.0,1648020.0,1331356.0,2226044.0,201670.0,1975588.0,1209600.0,675562.0,2526830.0,137780.0,2755400.0
453,neg,222.0,112650.0,1146042.0,382.0,2565932.0,698432.0,1209600.0,1732150.0,1635352.0,17343280.0,45910950.0
454,neg,118.0,753366.0,1079102.0,1240744.0,232216.0,1135020.0,1209600.0,544186.0,1935350.0,126800.0,611290.0
456,neg,2120.0,3239214.0,5780034.0,594938.0,6115058.0,1219662.0,1209600.0,40248.0,593574.0,56940.0,154672170.0
462,neg,1818.0,1569974.0,1194008.0,2665932.0,1348.0,1605018.0,1209600.0,1023566.0,2014514.0,285220.0,0.0
463,neg,206.0,2157516.0,1487886.0,1112250.0,121824.0,1798780.0,1209600.0,792392.0,2848288.0,721520.0,905040.0
464,neg,114.0,1681946.0,1289056.0,100834.0,1283508.0,24642.0,1209600.0,1122540.0,2436362.0,2880.0,40106960.0
465,neg,1010.0,1691816.0,1219394.0,256914.0,2453200.0,1793040.0,1209600.0,830292.0,2467454.0,72760.0,2014360.0
466,neg,680.0,2169746.0,1605728.0,2128360.0,330430.0,2344610.0,1209600.0,1101858.0,2957402.0,8491920.0,51388190.0
467,neg,106.0,1733518.0,1370472.0,1005698.0,580268.0,13730.0,1209600.0,185312.0,2412478.0,180800.0,39962090.0
468,neg,2130706434.0,1498718.0,963860.0,172584.0,579226.0,175046.0,1209600.0,1097884.0,1642736.0,7538220.0,1393540.0
470,neg,2130706432.0,1231674.0,1710330.0,21344.0,1402048.0,32058.0,1209600.0,372214.0,2894266.0,7651000.0,13433880.0
473,neg,1452.0,2125554.0,1362466.0,1105530.0,393934.0,2375634.0,1209600.0,307058.0,2564734.0,719940.0,41609610.0
475,neg,2130706432.0,3849256.0,2785110.0,2073068.0,1428640.0,351332.0,1209600.0,273918.0,5290724.0,7272140.0,13735460.0
483,neg,438.0,1449312.0,1231286.0,1791148.0,70348.0,1842470.0,1209600.0,1301170.0,862196.0,2587980.0,40946730.0
485,neg,412.0,1781072.0,1253438.0,1157000.0,507600.0,1950110.0,1209600.0,5520.0,1044548.0,1954800.0,7065990.0
487,neg,296.0,1948644.0,1745558.0,1320730.0,559318.0,207422.0,1209600.0,292942.0,3147660.0,10400.0,524780.0
489,neg,654.0,1375558.0,1010174.0,713084.0,1112.0,1622494.0,1209600.0,668316.0,1335718.0,1274980.0,2643780.0
491,neg,118.0,2228616.0,1792400.0,2337220.0,241676.0,2719200.0,1209600.0,530270.0,3347250.0,1352540.0,2343460.0
492,neg,2130706446.0,2407388.0,1889806.0,4654260.0,10.0,3323810.0,1209600.0,1409182.0,634134.0,39361460.0,1390690.0
493,neg,2240.0,3754726.0,4194146.0,476808.0,3169542.0,7988564.0,1209600.0,1700702.0,7227162.0,22684320.0,4334080.0
494,neg,5596.0,12280408.0,9941240.0,14606300.0,3355936.0,12201638.0,1209600.0,4254204.0,15940004.0,935300.0,12612390.0
495,neg,854.0,1399720.0,979072.0,405070.0,832802.0,1007126.0,1209600.0,322578.0,1795826.0,14340.0,0.0
497,neg,668.0,2534098.0,1503658.0,3176914.0,12.0,2034604.0,1209600.0,544916.0,924036.0,9978160.0,317040.0
499,neg,406.0,1508016.0,1147668.0,1255398.0,162996.0,1480058.0,1209600.0,775292.0,2072752.0,531080.0,38309150.0
500,neg,2130706432.0,1740770.0,1308588.0,752694.0,618926.0,2147584.0,1209600.0,484574.0,2064882.0,14506100.0,8547120.0
501,neg,248.0,1569576.0,1083672.0,538916.0,442012.0,2017202.0,1209600.0,517448.0,2193728.0,6580.0,40650270.0
503,neg,0.0,4779558.0,5345374.0,8726756.0,1441198.0,8657222.0,1209600.0,1110470.0,3246792.0,0.0,0.0
504,neg,684.0,1160030.0,1106166.0,1463260.0,138.0,1690548.0,1209600.0,602494.0,913552.0,20190800.0,320440.0
511,neg,458.0,892756.0,1122604.0,624928.0,209014.0,1431142.0,1209600.0,647562.0,1892758.0,83860.0,3875490.0
515,neg,804.0,1444646.0,1041416.0,500392.0,58606.0,1167440.0,1209600.0,381866.0,1471692.0,153440.0,2219180.0
516,neg,534.0,1198494.0,1310302.0,1743102.0,513442.0,90788.0,1209600.0,508804.0,2246150.0,37400.0,828820.0
519,neg,180.0,1356832.0,3041512.0,0.0,6084186.0,35952.0,1209600.0,2075970.0,5615036.0,21091640.0,12636420.0
521,neg,200.0,1952420.0,1373084.0,393544.0,1046356.0,102346.0,1209600.0,808226.0,2033370.0,844180.0,717480.0
523,neg,94.0,1464984.0,1180530.0,1031594.0,50348.0,1410252.0,1209600.0,817948.0,2331798.0,94120.0,1211620.0
524,neg,362.0,1830168.0,1403804.0,1296898.0,446138.0,2198202.0,1209600.0,544370.0,2806206.0,260460.0,7707060.0
527,neg,490.0,2181720.0,1351580.0,507500.0,1979516.0,2127138.0,1209600.0,866260.0,1969772.0,895980.0,38514840.0
528,neg,2130706432.0,3157992.0,2124668.0,1434480.0,561720.0,4000024.0,1209600.0,813934.0,4557744.0,13631580.0,15415570.0
532,neg,2130706432.0,1829874.0,2213184.0,2269050.0,788884.0,3515784.0,1209600.0,1620054.0,5170448.0,22625440.0,1354110.0
533,neg,1068.0,1400538.0,910660.0,1351984.0,129618.0,1433240.0,1209600.0,445694.0,1721220.0,125020.0,0.0
535,neg,2130706432.0,1361882.0,1024546.0,510302.0,4.0,1749174.0,1209600.0,1228342.0,2041710.0,2677460.0,0.0
537,neg,860.0,1421696.0,1183564.0,753118.0,171926.0,1988394.0,1209600.0,941304.0,1528764.0,3139560.0,933380.0
539,neg,1322.0,1954384.0,1315270.0,1280300.0,900668.0,2483056.0,1209600.0,817256.0,1153256.0,4198460.0,1092600.0
